non-profit,emergency food relief,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents
religious,emergency food relief;spiritual;meals;clothing;and toiletries for less fortunate,immigrant populations;low-income residents;youth;children;parents;haitian families
religious,spiritual,senior citizens;youth;children;parents
non-profit,housing;counseling;child-care;health,youth;parents;displaced residents 
non-profit,advocacy;education women volunteers on making a difference in their communities;volunteerism,women of all races/religions/ethnicity/etc.
medical,health,senior citizens;low-income residents;youth;children;parents
other,grant writing;evaluations and sustainability consulting,non-profit organizations;school districs;other educational institiutions;house organizations;youth development programs;those seeking funding for services in the community
religious,counseling;spiritual;youth activities,anyone
religious,emergency food relief;domestic violence prevention and support;counseling;spiritual;child-care;youth activities;food pantry,senior citizens;immigrant populations;low-income residents;youth;children;parents
non-profit,theatre,all audiences
economic,banking or finance services,adults
educational;non-profit,educational,youth;children;parents
religious,spiritual,senior citizens;youth;children;parents
non-profit,advocacy ,senior citizens;immigrant populations;low-income residents;youth;children;parents
religious,emergency food relief;clothing retail;counseling;educational;spiritual;youth activities;food and clothing drives;picnics;exercise classes;and other events,all are welcome
government agency,chief administrative building of orange,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents
medical,health,senior citizens;immigrant populations;low-income residents;youth;children;parents
educational,educational;child-care,children
government agency,emergency food relief;youth activities,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents
religious;non-profit,spiritual,senior citizens;immigrant populations;low-income residents;youth;children;parents;
non-profit,commerical art;youth activities,youth
government agency,advocacy;law enforcement/crime prevention,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents;the orange police department has the potentional to work with any of the above groups
educational;non-profit,educational;youth activities,children;parents
educational;other,commerical art;educational;youth activities,senior citizens;immigrant populations;low-income residents;youth;children;parents
religious,emergency food relief;educational;spiritual;child-care;youth activities,anyone
economic;non-profit,entrepreneurial services,artitist;immigrant populations;low-income residents;parents
non-profit,domestic violence prevention and support;advocacy;educational;youth activities;youth bible study/youth mentoring/ music;art;dance;and film classes/sport center,ages 12-19 youth 
educational,educational,youth
other,hair services,parents;women
non-profit,housing;advocacy;educational,women
economic,sit-down restaurant,senior citizens;youth;children;parents
religious,spiritual;youth activities,senior citizens;immigrant populations;low-income residents;youth;children;parents
medical,health,senior citizens;youth;children;parents
non-profit,domestic violence prevention and support;advocacy;commerical art;educational;child-care;youth activities;health;college/career prep/access to healthcare,low-income residents;youth;children;parents
religious;non-profit,emergency food relief;counseling;spiritual;some services are offered only when they are provided by outside people,senior citizens;immigrant populations;low-income residents;youth;children;parents
religious,spiritual;youth activities,senior citizens;immigrant populations;low-income residents;youth;children;parents
other,commerical art,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents;everyone who is a resident or visiter to orange
religious;non-profit,emergency food relief;advocacy;counseling;educational;spiritual;child-care;youth activities;mesh,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents
educational;medical;non-profit,substance abuse rehab;domestic violence prevention and support;advocacy (environment;crime/safety;drug abuse reduction;ect);counseling (not focused on drug or alcohol addition);health,youth;children;parents
non-profit,emergency food relief;banking or finance services;youth activities;health;family services,low-income residents;youth;children;parents;families
educational;non-profit,advocacy;educational,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents
government agency,delivery and pick up of packages,senior citizens;artitist;immigrant populations;low-income residents;children;parents
educational;non-profit;other,educational;youth activities;partner with schools,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents
non-profit,educational;early childhood development;play based programs,children;parents
educational;recreational;other,educational;child-care;summer camp/ages 3-4 preschool,youth;children
educational;other,counseling;educational;child-care,youth;children;parents
other,child-care;youth activities,senior citizens;youth;children
