id,name,telnum,website,contact,descript
40,IFS Independence: A Family of Service  ,9733951442,www.ifsnj.org,Kkaiser@ifsnj.org 
41,Iglesia Mision Cristiana,8622529674,iglesiamisioncristiana.org,
42,Interfaith Food Pantry of the Oranges ,9735448899,orangesfoodpantry.org,IFPOranges@gmail.com
43,International Faith Ministries,8627665094,http://www.internationalfaithministries.com/index.html,
44,International Faith Ministries,8627665095,internationalfaithministries.com,Admin: admin@internationalfaithministries.com
45,Isaiah House ,9736785882,www.isaiahhouse.org,
46,Junior League of the Oranges and Short Hills,9733792811,jlosh.org,
47,Labcorp in America,9734140530,https://www.labcorp.com/wps/portal,
48,Laurus Grant Writing & Evaluation Services,9084622994,http://go.laurusgrants.com/p/meet-co-founders_333.html,Christine Corriston
49,Living Water Christian Center Church,9736721260,yellowpages.com and churchfinder.com,Pastor Theodore Faison Sr.
50,Love of Jesus Family Church ,9736764200,http://www.theloveofjesus.org/,
51,Luna Stage,9733955551,lunastage.org,info@lunastage.org
52,MetLife (Laxer Financial Group),2017121200,http://www.laxerfinancial.com,"Tyrone Hutchinson, Marc Laxer"
53,Monclair State University,9736554000,http://www.montclair.edu/,"Bryan Murdock, 973-655-6831"
54,Mt. Olive Church of God,9736723310,montdesoliviers.com,
55,NAACP of the Oranges and Maplewood,9736755235,http://orangesmaplewoodnaacp.org/,
56,New Life Church,9737362664,https://www.facebook.com/The-New-Life-Church-East-Orange-NJ-105279629090/info/?tab=overview,Bishop David Barnes and Executive Pastor Sandra Barnes
57,Orange City Hall,9732664000,http://www.ci.orange.nj.us/welcome.html,General Info (973-266-4000)
58,Orange Community Health Center,9733652611,http://www.freeclinics.com/det/nj_Orange_Community_Health_Center,(973) 365-2611
59,Orange Early Childhood Center,9736774000,http://www.orange.k12.nj.us/Domain/528,973-677-4000 
60,Orange Fire Department,9736729500,,
61,Orange Foursquare Church,9737078492,http://elcfellowship.org/,(973) 707-8492
62,Orange Ink,8622527035,http://www.valleyartsnj.com/anchors/orng-ink/,rtbryant@artsba.com
63,Orange Police Department ,9732664111,http://www.ci.orange.nj.us/police_department.html,
64,Orange Preparatory Academy,9736774135,http://www.orange.k12.nj.us/Domain/374,
65,Orange Public Library ,9736730153,http://www.orangepl.org/,
66,Our Lady of the Valley,9736747500,http://rcan.org/our-lady-valley-parish-orange,Father Steve Dumais
67,Rising Tide Capital,2014324316,https://www.risingtidecapital.org/,Keith - 201-432-4316 ext. 108
68,ROC Centers of America ,2014072606,http://roccentersofamerica.wix.com/roccentersofamerica,
69,Rosa Parks Central Community School,9736774515,orange.k12.nj.us," Principal, Debra Joseph-Charles  JosephDe@orange.k12.nj.us"
70,Shannon & Nesbeth Hair Studio,9736770996,,Tanya Shannon
71,Sierra House ,9736783556,www.sierrahouse.org,(973) 678-3556
72,Southern comfort cafe,9736729100,http://www.southerncomfortcafe.com,973-672-9100
73,St. Johns Catholic Church,9736740110,http://www.stjohnscatholicchurch.net/Index.cfm?u=4D4ACFAA-3048-7C56-699EDA63F6AC6069,stjohnora@comcast.net 
74,St. Marys Life Center ,9732663066,http://alarishealth.com/locations/alaris-health-at-st-marys/,1.855.7.ALARIS 
75,The Children's Aid Society,2129494800,http://www.childrensaidsociety.org/,
76,The Episcopal Church of Epiphany ,9736781160,http://christchurcheo.org,Cathy Isaac 973-678-1160
77,The Love Of Jesus Family Church,9736762700,http://www.theloveofjesus.org/,
78,The Valley Arts District,8622527035,http://www.valleyartsnj.com/firehouse/,info@valleyartsnj.com
79,Unitarian Universalist Congregation at Montclair,9737446276,http://www.uumontclair.org,Dianne Specht (201)259-1658
80,United Cerebral Palsy (UCP),9736781008,http://ucp.org/,info@ucp.org
81,United Way of Essex and Hudson,9736248300,http://www.uwewh.org,Mr. Taylor at (973) 854-2244
82,University of Orange,9736783110,http://www.universityoforange.org/newsite/,universityoforange@gmail.com
83,USPS Post Office,9736727304,https://tools.usps.com/go/POLocatorDetailsAction!input.action?locationTypeQ=all&address=Orange%2C+NJ&radius=5&locationType=po&locationID=1376220&locationName=ORANGE&address2=&address1=384+MAIN+ST&city=ORANGE&state=NJ&zip5=07050&zip4=9998&tollFree=800-ASK-USPS%26reg%3B%26nbsp%3B%28800-275-8777%29&fax=650-577-4210&tAddress=&tAddress1Ams=&tAddress2Ams=&tCityAms=&tStateAms=&tZipAms=&tCarrierRouteAms=&latitude=40.7731841&longitude=-74.23233&sWithin=5&&&&&&&&&,1 (800)275-8777
84,Valley Arts,8622527035,,Executive Director: Candace Lee; Khady Ndiaye; Donniee Barnes
85,World Wide Orphans,9737639961,https://www.wwo.org,Ticiana via the telephone number listed
86,YMCA,9736735588,http://www.metroymcas.org/east-orange-ymca/east-orange-ymca/,
87,Youth Consultation Services ,9736721918,http://www.ycs.org/,info@ycs.org
88,YWCA of Essex and West Hudson NJ,9736729500,,
