id,name,telnum,website,contact,descript,lat,lon,street,city,state,zip
39,Homeless Prevention Program,9732668693,http://www.state.nj.us/dca/divisions/dhcr/offices/hpp.html, , ,40.760665,-74.226244, 240 S Harrison St,East Orange,NJ,07018
40,IFS Independence: A Family of Service  ,9733951442,www.ifsnj.org,Kkaiser@ifsnj.org ,  ,40.763327,-74.220619,60 Evergreen Place 3rd Floor Suite 307,Orange,NJ,07050
41,Iglesia Mision Cristiana,8622529674,iglesiamisioncristiana.org, , ,40.766332,-74.233046,257 Central Ave,Orange,NJ,07050
42,Interfaith Food Pantry of the Oranges ,9735448899,orangesfoodpantry.org,IFPOranges@gmail.com, ,40.770181,-74.223628,105 Main Street,Orange,NJ,07050
43,International Faith Ministries,8627665094,http://www.internationalfaithministries.com/index.html, , ,40.768666,-74.216603,57 Prospect Street,East Orange,NJ,07017
44,International Faith Ministries,8627665095,internationalfaithministries.com,Admin: admin@internationalfaithministries.com, ,40.773411,-74.234853,420 Main St,Orange,NJ,07050
45,Isaiah House ,9736785882,www.isaiahhouse.org, , ,40.766355,-74.205377,238 North Munn Ave,East Orange,NJ,07017
46,Junior League of the Oranges and Short Hills,9733792811,jlosh.org, , ,40.721816,-74.307074,105 Main Street,Millburn,NJ,07041
47,Labcorp in America,9734140530,https://www.labcorp.com/wps/portal,,  ,40.76892,-74.234638,345 Henry St #104,Orange,NJ,07050
48,Laurus Grant Writing & Evaluation Services,9084622994,http://go.laurusgrants.com/p/meet-co-founders_333.html,Christine Corriston, ,40.758296,-74.417231,37 Kings Road,Madison,NJ,07940
49,Living Water Christian Center Church,9736721260,yellowpages.com and churchfinder.com,Pastor Theodore Faison Sr., ,40.782343,-74.217808,374 Dodd St,East Orange,NJ,07017
50,Love of Jesus Family Church ,9736764200,http://www.theloveofjesus.org/,, ,40.764821,-74.242621,448 Highland Avenue,Orange,NJ,07050
51,Luna Stage,9733955551,lunastage.org,info@lunastage.org, ,40.769173,-74.246448,555 Valley Road,West Orange,NJ,07052
52,MetLife (Laxer Financial Group),2017121200,http://www.laxerfinancial.com,Tyrone Hutchinson Marc Laxer, ,40.921557,-74.088285,61 South Paramus Rd,Paramus,NJ,07652
53,Monclair State University,9736554000,http://www.montclair.edu/,Bryan Murdock 973-655-6831, ,40.857604,74.200275,Montclair State University 1 Normal Ave,Montclair,NJ,07043
54,Mt. Olive Church of God,9736723310,montdesoliviers.com, , ,40.773696,-74.231019, 24 Cleveland St,Orange,NJ,07051
55,NAACP of the Oranges and Maplewood,9736755235,http://orangesmaplewoodnaacp.org/,, ,40.760814,-74.209346,P.O. Box 1127,East Orange,NJ,07019
56,New Life Church,9737362664,https://www.facebook.com/The-New-Life-Church-East-Orange-NJ-105279629090/info/?tab=overview,Bishop David Barnes and Executive Pastor Sandra Barnes, ,40.787922,-74.217871,622 Thomas Street,East Orange,NJ,07017
57,Orange City Hall,9732664000,http://www.ci.orange.nj.us/welcome.html,General Info 973-266-4000, ,40.773061,-74.229086,29 N Day St,Orange,NJ,07050
58,Orange Community Health Center,9733652611,http://www.freeclinics.com/det/nj_Orange_Community_Health_Center,973 365-2611, ,40.773319,-74.228906,37 north day street,Orange,NJ,07050
59,Orange Early Childhood Center,9736774000,http://www.orange.k12.nj.us/Domain/528,973-677-4000 , ,40.778298,-74.229397,397 Park Avenue,Orange,NJ,07050
60,Orange Fire Department,9736729500, , , ,40.767532,-74.238672,419 Central Ave,Orange,NJ,07050
61,Orange Foursquare Church,9737078492,http://elcfellowship.org/,973 707-8492, ,40.764699,-74.230553,170 Central Ave,Orange,NJ,07050
62,Orange Ink,8622527035,http://www.valleyartsnj.com/anchors/orng-ink/,rtbryant@artsba.com, ,40.766608,-74.246317,406 Tompkins St.,Orange,NJ,07050
63,Orange Police Department ,9732664111,http://www.ci.orange.nj.us/police_department.html,, ,40.771386,-74.225494,29 Park Street,Orange,NJ,07050
64,Orange Preparatory Academy,9736774135,http://www.orange.k12.nj.us/Domain/374,, ,40.766426,-74.238517,400 Central Ave,Orange,NJ,07050
65,Orange Public Library ,9736730153,http://www.orangepl.org/,, ,40.772863,-74.23145, 348 Main St,Orange,NJ,07050
66,Our Lady of the Valley,9736747500,http://rcan.org/our-lady-valley-parish-orange,Father Steve Dumais, ,40.764552,-74.24918,510 Valley St,Orange,NJ,07050
67,Rising Tide Capital,2014324316,https://www.risingtidecapital.org/,Keith - 201-432-4316 ext. 108, ,40.710074,-74.079624,334 Martin Luther King Dr,Jersey City,NJ,07305
68,ROC Centers of America ,2014072606,http://roccentersofamerica.wix.com/roccentersofamerica,, ,40.758486,-74.228069,320 S Harrison St #7e,East Orange,NJ,07018
69,Rosa Parks Central Community School,9736774515,orange.k12.nj.us, Principal Debra Joseph-Charles  JosephDe@orange.k12.nj.us, ,40.773513,-74.232111,369 Main St,Orange,NJ,07050
70,Shannon & Nesbeth Hair Studio,9736770996, ,Tanya Shannon, ,40.772106,-74.231697,23 S Essex Ave,Orange,NJ,07050
71,Sierra House ,9736783556,www.sierrahouse.org,973 678-3556, ,40.75667,-74.206249,11 South Maple Ave,East Orange,NJ,07018
72,Southern comfort cafe,9736729100,http://www.southerncomfortcafe.com,973-672-9100, ,40.768831,-74.241028,501 Central Ave. ,Orange,NJ,07050
73,St. Johns Catholic Church,9736740110,http://www.stjohnscatholicchurch.net/Index.cfm?u=4D4ACFAA-3048-7C56-699EDA63F6AC6069,stjohnora@comcast.net , ,40.776776,-74.232735,94 Ridge Street.,Orange,NJ,07050
74,St. Marys Life Center ,9732663066,http://alarishealth.com/locations/alaris-health-at-st-marys/,1.855.7.ALARIS , ,40.768223,-74.23083,135 S Center St,Orange,NJ,07050
75,The Childrens Aid Society,2129494800,http://www.childrensaidsociety.org/,, ,40.752161,-73.972835,711 Third Avenue - Suite 700,New York City,NY,10017
76,The Episcopal Church of Epiphany ,9736781160,http://christchurcheo.org,Cathy Isaac 973-678-1160, ,40.770008,-74.22368,105 Main Street,Orange,NJ,07050
77,The Love Of Jesus Family Church,9736762700,http://www.theloveofjesus.org/,, ,40.764781,-74.242536,448 Highland Ave,Orange,NJ,07050
78,The Valley Arts District,8622527035,http://www.valleyartsnj.com/firehouse/,info@valleyartsnj.com, ,40.765166,-74.247241,580 Forest St.,Orange,NJ,07940
79,Unitarian Universalist Congregation at Montclair,9737446276,http://www.uumontclair.org,Dianne Specht 201259-1658, ,40.815067,-74.220712,67 Church Street,Montclair,NJ,07042
80,United Cerebral Palsy (UCP),9736781008,http://ucp.org/,info@ucp.org, ,40.760212,-74.236337,231 Roberts Rd,Orange,NJ,07050
81,United Way of Essex and Hudson,9736248300,http://www.uwewh.org,Mr. Taylor at 973 854-2244, ,40.734612,-74.176488,303 Washington Street,Newark,NJ,07102
82,University of Orange,9736783110,http://www.universityoforange.org/newsite/,universityoforange@gmail.com, ,40.772299,-74.231588,15 S Essex Ave,Orange,NJ,07050
83,USPS Post Office,9736727304,https://tools.usps.com/go/POLocatorDetailsAction!input.action?locationTypeQ=all&address=Orange%2C+NJ&radius=5&locationType=po&locationID=1376220&locationName=ORANGE&address2=&address1=384+MAIN+ST&city=ORANGE&state=NJ&zip5=07050&zip4=9998&tollFree=800-ASK-USPS%26reg%3B%26nbsp%3B%28800-275-8777%29&fax=650-577-4210&tAddress=&tAddress1Ams=&tAddress2Ams=&tCityAms=&tStateAms=&tZipAms=&tCarrierRouteAms=&latitude=40.7731841&longitude=-74.23233&sWithin=5&&&&&&&&&,1 800275-8777, ,40.773007,-74.232699,384 Main St,Orange,NJ,07050
84,Valley Arts,8622527035, ,Executive Director: Candace Lee; Khady Ndiaye; Donniee Barnes, ,40.766084,-74.245146,400 South Jefferson Street,Orange,NJ,07050
85,World Wide Orphans,9737639961,https://www.wwo.org,Ticiana via the telephone number listed, ,40.733945,-74.270172,515 Valley St #201,Maplewood,NJ,07040
86,YMCA,9736735588,http://www.metroymcas.org/east-orange-ymca/east-orange-ymca/,, ,40.764071,-74.207502,159 N. MUNN AVE.,East Orange,NJ,07017
87,Youth Consultation Services ,9736721918,http://www.ycs.org/,info@ycs.org, ,40.755025,-74.244545, 332 Lawn Ridge Rd,Orange,NJ,07050
88,YWCA of Essex and West Hudson NJ,9736729500, , , ,40.773774,-74.232645,395 Main St,Orange,NJ,07050
